current_section	can_check_section	gas_present	structure_stable	structure_safe_flag	gas_detected_flag	structure_ok_flag	send_data	send_gas_data	send_structure_data	section_safe
current_section	can_check_section	gas_present	structure_stable	structure_safe_flag	gas_detected_flag	structure_ok_flag	send_data	send_gas_data	send_structure_data	section_safe
0	false	false	true	true	false	true	false	false	false	false
0	true	true	true	true	false	true	false	false	false	false
0	true	true	true	true	false	true	false	false	false	false
0	true	true	true	true	false	true	false	false	false	false
0	true	true	true	true	false	true	false	false	false	false
0	true	true	true	true	false	true	false	false	false	false
0	true	true	true	true	false	true	false	false	false	false
0	true	true	true	true	false	true	false	false	false	false
0	true	true	true	true	false	true	false	false	false	false
0	true	true	true	true	false	true	false	false	false	false
0	true	true	true	true	false	true	false	false	false	false
0	true	true	true	true	false	true	false	false	false	false
0	true	true	true	true	false	true	false	false	false	false
0	true	true	true	true	false	true	false	false	false	false
0	true	true	true	true	false	true	false	false	false	false
0	true	true	true	true	false	true	false	false	false	false
0	true	true	true	true	false	true	true	false	false	false
0	true	true	true	true	false	true	true	false	false	false
0	true	true	true	true	false	true	true	false	false	false
0	true	true	true	true	false	true	true	false	false	false
0	true	true	true	true	false	true	true	false	false	false
0	true	true	true	true	true	true	true	true	false	false
0	true	true	true	true	true	true	true	true	true	false
0	true	true	true	true	true	true	true	true	true	false
0	true	true	true	true	true	true	true	true	true	false
1	true	true	true	false	false	true	false	false	false	false
1	true	true	true	false	false	true	false	false	false	false
1	true	true	true	false	false	true	false	false	false	false
1	true	true	true	false	false	true	false	false	false	false
1	true	true	true	false	false	true	false	false	false	false
1	true	false	true	false	false	true	false	false	false	false
1	true	false	true	false	false	true	false	false	false	false
1	true	false	true	false	false	true	false	false	false	false
1	true	false	true	true	false	true	false	false	false	false
1	true	false	true	true	false	true	false	false	false	false
1	true	false	true	true	false	true	true	false	false	false
1	true	false	true	true	false	true	true	false	false	false
1	true	false	true	true	false	true	true	false	false	false
1	true	false	true	true	false	true	true	false	false	false
1	true	false	true	true	false	true	true	false	false	false
1	true	false	true	true	false	true	true	false	false	false
1	true	false	true	true	false	true	true	false	false	false
1	true	false	true	true	false	true	true	true	false	false
1	true	false	true	true	false	true	true	true	true	false
1	true	false	true	true	false	true	true	true	true	true
1	true	false	true	true	false	true	true	true	true	true
1	true	false	true	true	false	true	true	true	true	true
1	true	false	true	true	false	true	true	true	true	true
2	true	false	true	false	false	true	false	false	false	false
2	true	false	true	false	false	true	false	false	false	false
2	true	false	true	false	false	true	false	false	false	false
2	true	false	true	false	false	true	false	false	false	false
2	true	false	true	false	false	true	false	false	false	false
2	true	true	true	false	false	true	false	false	false	false
2	true	true	true	false	false	true	false	false	false	false
2	true	true	true	true	false	true	false	false	false	false
2	true	true	true	true	false	true	false	false	false	false
2	true	true	true	true	false	true	false	false	false	false
2	true	true	true	true	false	true	false	false	false	false
2	true	true	true	true	false	true	true	false	false	false
2	true	true	true	true	false	true	true	false	false	false
2	true	true	true	true	false	true	true	false	false	false
2	true	true	true	true	false	true	true	false	false	false
2	true	true	true	true	false	true	true	false	false	false
2	true	true	true	true	false	true	true	false	false	false
2	true	true	true	true	false	true	true	false	false	false
2	true	true	true	true	false	true	true	false	false	false
2	true	true	true	true	false	true	true	false	false	false
2	true	true	true	true	true	true	true	true	false	false
2	true	true	true	true	true	true	true	true	false	false
2	true	true	true	true	true	true	true	true	true	false
2	true	true	true	true	true	true	true	true	true	false
2	true	true	true	true	true	true	true	true	true	false
2	true	true	true	true	true	true	true	true	true	false
2	true	true	true	true	true	true	true	true	true	false
3	true	true	true	false	false	true	false	false	false	false
3	true	true	true	false	false	true	false	false	false	false
3	true	true	true	false	false	true	false	false	false	false
3	true	true	true	true	false	true	false	false	false	false
3	true	true	true	true	false	true	false	false	false	false
3	true	true	true	true	false	true	false	false	false	false
3	true	true	true	true	false	true	false	false	false	false
3	true	true	true	true	false	true	false	false	false	false
3	true	true	true	true	false	true	true	false	false	false
